provider;name;address;northing;easting;lat;lon;lat_ind;lon_ind;spots
RWE Ladestationen;RWE Ladestationen;Brunsbtteler Damm 5, 13581 Berlin;9377.7221026037;23042.949469275;52.533174;13.196844;52.533174;13.196844;2
RWE Ladestationen;RWE Ladestationen;Friedrich-List-Ufer , 10557 Berlin;22706.390634433;22125.711231914;52.526325;13.370685;52.526325;13.370685;2
RWE Ladestationen;RWE Ladestationen;Boyenstr. 23, 10115 Berlin;22591.988231799;23236.119815032;52.536046;13.368976;52.536046;13.368976;2
RWE Ladestationen;RWE Ladestationen;Schumannstr. 6, 10117 Berlin;23380.710321664;21874.437723015;52.52373;13.380862;52.52373;13.380862;2
RWE Ladestationen;RWE Ladestationen;Luisenstrasse 31, 10117 Berlin;23355.517177417;21453.224774041;52.519854;13.380103;52.519854;13.380103;2
RWE Ladestationen;RWE Ladestationen;Luisenstrasse 31, 10117 Berlin;23355.517177417;21453.224774041;52.519854;13.380103;52.519854;13.380103;2
RWE Ladestationen;RWE Ladestationen;Bellevuestr. 3, 10785 Berlin;22918.27174638;20397.038622566;52.510507;13.373822;52.510507;13.373822;2
RWE Ladestationen;RWE Ladestationen;Behrensstraße 28, 10117 Berlin;23998.15919225;20964.010604006;52.515694;13.390202;52.515694;13.390202;2
RWE Ladestationen;RWE Ladestationen;Alte Jakobstraße 76, 10179 Berlin;25297.555911755;20372.596514069;52.510478;13.409205;52.510478;13.409205;2
RWE Ladestationen;RWE Ladestationen;Torstraße 163, 10115 Berlin;24398.952516871;22446.381448227;52.529083;13.396043;52.529083;13.396043;2
RWE Ladestationen;RWE Ladestationen;Voltairestraße 2, 10179 Berlin;25865.736385754;21205.498938691;52.517157;13.415023;52.517157;13.415023;2
RWE Ladestationen;RWE Ladestationen;Krausenstraße 19, 10117 Berlin;20695.478231664;20295.824874989;52.50965;13.393413;52.50965;13.393413;2
RWE Ladestationen;RWE Ladestationen;Savignyplatz (Nord) 6, 10623 Berlin;19422.035610035;19977.761052359;52.506398;13.322265;52.506398;13.322265;2
RWE Ladestationen;RWE Ladestationen;Linkstrasse 8002, 10785 Berlin;23090.146535255;20132.488900387;52.504853;13.373752;52.504853;13.373752;2
RWE Ladestationen;RWE Ladestationen;Kurfrstendamm 190-192, 10707 Berlin;19045.459630547;19344.741512852;52.501166;13.317188;52.501166;13.317188;2
RWE Ladestationen;RWE Ladestationen;Pommersche Straße 11, 10707 Berlin;18929.015557401;18498.971272494;52.493477;13.314333;52.493477;13.314333;2
RWE Ladestationen;RWE Ladestationen;Fasanenstrasse 154, 10623 Berlin;19785.681410242;19839.259034851;52.507762;13.328208;52.507762;13.328208;2
RWE Ladestationen;RWE Ladestationen;Schaperstraße 14, 10179 Berlin;19871.794199303;19183.02972929;52.499557;13.330341;52.499557;13.330341;2
RWE Ladestationen;RWE Ladestationen;Pommersche Straße 11, 10707 Berlin;18929.015557401;18498.971272494;52.493477;13.314333;52.493477;13.314333;2
RWE Ladestationen;RWE Ladestationen;Marchstraße 9, 10587 Berlin;19452.733426131;20770.156638802;52.514918;13.32273;52.514918;13.32273;2
RWE Ladestationen;RWE Ladestationen;Schloßstraße 1, 14059 Berlin;17621.014551994;21381.003290827;52.519123;13.295755;52.519123;13.295755;2
RWE Ladestationen;RWE Ladestationen;Fritz-Wildung-Straße 26, 14199 Berlin;17665.641423575;17449.551281047;52.483663;13.296743;52.483663;13.296743;2
RWE Ladestationen;RWE Ladestationen;Fritz-Wildung-Straße 26, 14199 Berlin;17665.641423575;17449.551281047;52.483663;13.296743;52.483663;13.296743;2
RWE Ladestationen;RWE Ladestationen;Theodor-Heuss-Platz 5, 14052 Berlin;16056.077545333;20218.10231261;52.508662;13.272308;52.508662;13.272308;2
RWE Ladestationen;RWE Ladestationen;Hohenzollernring 112, 13585 Berlin;11009.981477928;25471.483093607;52.555425;13.200748;52.555425;13.200748;2
RWE Ladestationen;RWE Ladestationen;Torgauer Straße 12-15, 10829 Berlin;39712.636531977;23889.277961241;52.480134;13.355504;52.480134;13.355504;2
RWE Ladestationen;RWE Ladestationen;Hohenzollernring 112, 13585 Berlin;11009.981477928;25471.483093607;52.555425;13.200748;52.555425;13.200748;2
RWE Ladestationen;RWE Ladestationen;Zitadellenweg 8001, 13599 Berlin;12320.97758753;23520.027160214;52.53857;13.21363;52.53857;13.21363;2
RWE Ladestationen;RWE Ladestationen;Frankfurter Allee 248, 10365 Berlin;31314.27131087;20667.277423221;52.511902;13.498075;52.511902;13.498075;2
RWE Ladestationen;RWE Ladestationen;Grunerstr. 20 (Parkhaus ALEXA) , 10179 Berlin;25848.842789144;21348.984966137;52.51909;13.41236;52.51909;13.41236;2
RWE Ladestationen;RWE Ladestationen;Grbenowstr. 5, 10435 Berlin;25042.631279817;23210.624763451;52.536007;13.405326;52.536007;13.405326;2
RWE Ladestationen;RWE Ladestationen;Neue Jdenstraße 1, 10117 Berlin;25393.527373338;20928.696549133;52.515831;13.410519;52.515831;13.410519;2
RWE Ladestationen;RWE Ladestationen;Große-Leege-Str. 115, 13055 Berlin;31569.389222156;24606.274006487;52.548304;13.501142;52.548304;13.501142;2
RWE Ladestationen;RWE Ladestationen;Anklamer Str. 8, 10115 Berlin;24447.472664652;23061.928407219;52.534422;13.395621;52.534422;13.395621;2
RWE Ladestationen;RWE Ladestationen;Jdenstrasse 1, 10178 Berlin;25317.162788984;21314.614679228;52.518414;13.409474;52.518414;13.409474;2
RWE Ladestationen;RWE Ladestationen;Anklamer Str. 8, 10115 Berlin;24447.472664652;23061.928407219;52.534422;13.395621;52.534422;13.395621;2
RWE Ladestationen;RWE Ladestationen;Grunerstrasse 20 (Parkhaus ALEXA) , 10179 Berlin;25848.842789144;21348.984966137;52.51909;13.41236;52.51909;13.41236;2
RWE Ladestationen;RWE Ladestationen;Friedrich-List-Ufer , 10557 Berlin;22706.390634433;22125.711231914;52.526325;13.370685;52.526325;13.370685;2
RWE Ladestationen;RWE Ladestationen;Ltzowplatz 11, 10785 Berlin;21504.260515252;19705.479870638;52.504444;13.353144;52.504444;13.353144;2
RWE Ladestationen;RWE Ladestationen;Flensburger Straße 1, 10557 Berlin;21001.963933018;21500.211571917;52.52023;13.346901;52.52023;13.346901;2
